STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
2,Himachal Pradesh,2020-11-01T00:00:00Z,28848,9313,12467,21780,0.754991681,,
29,Karnataka,2019-05-01T00:00:00Z,485610,107614,258900,366514,0.754749696,,
23,Madhya Pradesh,2020-10-01T00:00:00Z,155463,33782,83541,117323,0.754668313,,
13,Nagaland,2018-09-01T00:00:00Z,5857,1742,2675,4417,0.754140345,,
25,Daman and Diu,2018-04-01T00:00:00Z,3464,2391,221,2612,0.75404157,,
19,West Bengal,2020-02-01T00:00:00Z,240337,129485,51735,181220,0.754024557,,
97,Other Territory,2019-04-01T00:00:00Z,65,45,4,49,0.753846154,,
97,Other Territory,2019-05-01T00:00:00Z,65,44,5,49,0.753846154,,
33,Tamil Nadu,2018-10-01T00:00:00Z,638043,121527,359408,480935,0.753765812,,
37,Andhra Pradesh,2019-05-01T00:00:00Z,206448,40973,114605,155578,0.753594125,,
32,Kerala,2019-05-01T00:00:00Z,195184,37638,109429,147067,0.753478769,,
5,Uttarakhand,2017-08-01T00:00:00Z,34516,23113,2889,26002,0.753331788,,
18,Assam,2018-06-01T00:00:00Z,136177,55065,47486,102551,0.75307137,,
14,Manipur,2017-09-01T00:00:00Z,6564,3787,1155,4942,0.752894576,,
21,Odisha,2017-10-01T00:00:00Z,59901,37458,7637,45095,0.752825495,,
16,Tripura,2020-02-01T00:00:00Z,9683,4697,2591,7288,0.7526593,,
25,Daman and Diu,2018-05-01T00:00:00Z,3499,2388,245,2633,0.752500714,,
13,Nagaland,2019-06-01T00:00:00Z,6463,1086,3777,4863,0.752436949,,
18,Assam,2021-01-01T00:00:00Z,108391,24068,57475,81543,0.752304158,,
31,Lakshadweep,2021-02-01T00:00:00Z,222,62,105,167,0.752252252,,
29,Karnataka,2018-11-01T00:00:00Z,455153,111740,230641,342381,0.752232766,,
3,Punjab,2018-08-01T00:00:00Z,102000,64436,12251,76687,0.751833333,,
13,Nagaland,2018-01-01T00:00:00Z,3224,1513,910,2423,0.751550868,,
17,Meghalaya,2021-09-01T00:00:00Z,25656,6590,12690,19280,0.751481135,,
36,Telangana,2018-11-01T00:00:00Z,211412,43352,115504,158856,0.75140484,,
17,Meghalaya,2018-06-01T00:00:00Z,20216,9204,5981,15185,0.751137713,,
18,Assam,2018-09-01T00:00:00Z,144015,39416,68696,108112,0.75069958,,
34,Puducherry,2018-10-01T00:00:00Z,14593,3066,7886,10952,0.750496814,,
26,Dadra and Nagar Haveli,2018-08-01T00:00:00Z,4259,2616,580,3196,0.750410895,,
21,Odisha,2017-08-01T00:00:00Z,57678,36623,6640,43263,0.750078019,,
9,Uttar Pradesh,2020-11-01T00:00:00Z,477702,102581,255558,358139,0.749712164,,
36,Telangana,2019-08-01T00:00:00Z,236935,42250,135272,177522,0.749243463,,
29,Karnataka,2018-10-01T00:00:00Z,455096,87752,253129,340881,0.749030974,,
17,Meghalaya,2022-07-01T00:00:00Z,16566,4458,7941,12399,0.748460703,,
27,Maharashtra,2020-11-01T00:00:00Z,562582,183019,237974,420993,0.748322911,,
13,Nagaland,2018-02-01T00:00:00Z,3218,1474,934,2408,0.748290864,,
15,Mizoram,2017-11-01T00:00:00Z,2370,1399,373,1772,0.747679325,,
5,Uttarakhand,2020-01-01T00:00:00Z,43497,16192,16324,32516,0.747545808,,
13,Nagaland,2018-12-01T00:00:00Z,6085,659,3888,4547,0.747247329,,
12,Arunachal Pradesh,2021-08-01T00:00:00Z,10162,1780,5804,7584,0.746309782,,
30,Goa,2021-01-01T00:00:00Z,23527,7394,10156,17550,0.74595146,,
34,Puducherry,2019-07-01T00:00:00Z,15621,3128,8523,11651,0.745854939,,
22,Chhattisgarh,2018-11-01T00:00:00Z,45806,9865,24253,34118,0.744836921,,
17,Meghalaya,2018-09-01T00:00:00Z,22408,7745,8942,16687,0.744689397,,
15,Mizoram,2021-02-01T00:00:00Z,5125,943,2873,3816,0.744585366,,
12,Arunachal Pradesh,2021-10-01T00:00:00Z,10295,2335,5328,7663,0.744341914,,
31,Lakshadweep,2019-06-01T00:00:00Z,219,58,105,163,0.744292237,,
12,Arunachal Pradesh,2018-06-01T00:00:00Z,9000,3350,3347,6697,0.744111111,,
36,Telangana,2020-11-01T00:00:00Z,276584,61892,143784,205676,0.743629422,,
23,Madhya Pradesh,2018-11-01T00:00:00Z,128868,31991,63790,95781,0.743248906,,
24,Gujarat,2019-07-01T00:00:00Z,340947,101809,151350,253159,0.742517165,,
31,Lakshadweep,2019-09-01T00:00:00Z,229,51,119,170,0.742358079,,
9,Uttar Pradesh,2019-02-01T00:00:00Z,375418,90656,187930,278586,0.742068841,,
13,Nagaland,2020-02-01T00:00:00Z,4794,2023,1534,3557,0.741969128,,
12,Arunachal Pradesh,2017-11-01T00:00:00Z,3452,1898,663,2561,0.74188876,,
17,Meghalaya,2017-11-01T00:00:00Z,8403,4517,1717,6234,0.741877901,,
13,Nagaland,2017-10-01T00:00:00Z,3199,1597,776,2373,0.741794311,,
10,Bihar,2018-01-01T00:00:00Z,86656,48109,16149,64258,0.741529727,,
20,Jharkhand,2019-02-01T00:00:00Z,64329,13043,34656,47699,0.741485178,,
12,Arunachal Pradesh,2021-11-01T00:00:00Z,10459,4833,2921,7754,0.741371068,,
36,Telangana,2018-10-01T00:00:00Z,213000,36273,121569,157842,0.741042254,,
22,Chhattisgarh,2020-10-01T00:00:00Z,58990,12201,31493,43694,0.740701814,,
13,Nagaland,2017-11-01T00:00:00Z,3272,1576,846,2422,0.740220049,,
