STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
,Tamil Nadu,2023-08-01T00:00:00Z,929406,562804,355680,918484,0.988248408,,
,Himachal Pradesh,2024-04-01T00:00:00Z,46541,31272,14722,45994,0.988246922,,
,Uttar Pradesh,2023-07-01T00:00:00Z,938677,472567,455070,927637,0.988238766,,
,Puducherry,2023-07-01T00:00:00Z,18543,9859,8465,18324,0.988189613,,
33,Tamil Nadu,2023-03-01T00:00:00Z,1023930,608907,402919,1011826,0.988178879,,
,Uttar Pradesh,2023-05-01T00:00:00Z,943261,483030,449028,932058,0.988123118,,
7,Delhi,2023-02-01T00:00:00Z,429555,321274,103173,424447,0.988108624,,
,Maharashtra,2024-02-01T00:00:00Z,893595,647730,235232,882962,0.988100873,,
,Uttar Pradesh,2024-04-01T00:00:00Z,998452,506014,480533,986547,0.988076542,,
,Himachal Pradesh,2024-09-01T00:00:00Z,109219,60928,46982,107910,0.988014906,,
,Karnataka,2023-06-01T00:00:00Z,856106,498636,347183,845819,0.987983965,,
,Ladakh,2024-12-01T00:00:00Z,7981,3094,4791,7885,0.987971432,,
,Puducherry,2024-03-01T00:00:00Z,21042,11166,9622,20788,0.987928904,,
,Karnataka,2023-04-01T00:00:00Z,675549,384009,283377,667386,0.987916495,,
,Haryana,2023-07-01T00:00:00Z,287010,208590,74941,283531,0.987878471,,
,Jharkhand,2023-05-01T00:00:00Z,129829,61108,67144,128252,0.987853253,,
24,Gujarat,2022-09-01T00:00:00Z,1019860,798796,208670,1007466,0.987847352,,
,Madhya Pradesh,2024-09-01T00:00:00Z,476427,202702,267925,470627,0.987826047,,
,West Bengal,2024-06-01T00:00:00Z,688530,382684,297454,680138,0.987811715,,
,Madhya Pradesh,2024-10-01T00:00:00Z,224544,123134,98673,221807,0.987810852,,
,Madhya Pradesh,2024-04-01T00:00:00Z,219593,119398,97513,216911,0.987786496,,
,Puducherry,2024-02-01T00:00:00Z,18938,10404,8302,18706,0.987749498,,
,Uttarakhand,2024-04-01T00:00:00Z,90468,51407,37952,89359,0.987741522,,
,Karnataka,2024-03-01T00:00:00Z,887779,494061,382834,876895,0.987740192,,
,Dadra and Nagar Haveli,2024-08-01T00:00:00Z,12107,9861,2097,11958,0.98769307,,
,Goa,2024-12-01T00:00:00Z,38569,25755,12339,38094,0.98768441,,
29,Karnataka,2023-02-01T00:00:00Z,673244,423567,241382,664949,0.987679058,,
,Kerala,2024-05-01T00:00:00Z,293812,180114,110076,290190,0.987672389,,
,Tamil Nadu,2024-05-01T00:00:00Z,959446,584532,363023,947555,0.98760639,,
,Assam,2023-10-01T00:00:00Z,124176,50263,72373,122636,0.987598248,,
,Telangana,2023-08-01T00:00:00Z,347597,174724,168556,343280,0.987580445,,
,Mizoram,2024-03-01T00:00:00Z,7084,1486,5510,6996,0.98757764,,
,Haryana,2024-01-01T00:00:00Z,298012,222703,71602,294305,0.987560904,,
,Telangana,2023-11-01T00:00:00Z,355186,181733,169027,350760,0.987538923,,
,Jharkhand,2024-04-01T00:00:00Z,136794,64576,70513,135089,0.987536003,,
,Himachal Pradesh,2023-08-01T00:00:00Z,46425,28597,17247,45844,0.987485191,,
,Telangana,2024-04-01T00:00:00Z,363720,185210,173956,359166,0.98747938,,
,Dadra and Nagar Haveli,2025-01-01T00:00:00Z,12178,10073,1952,12025,0.987436361,,
,Karnataka,2023-07-01T00:00:00Z,679636,402549,268543,671092,0.987428565,,
,Karnataka,2023-10-01T00:00:00Z,690763,421980,260087,682067,0.987411022,,
,Jammu and Kashmir,2024-12-01T00:00:00Z,132270,52938,77664,130602,0.987389431,,
,Puducherry,2024-01-01T00:00:00Z,18829,10333,8257,18590,0.987306814,,
,Jharkhand,2023-06-01T00:00:00Z,176637,80593,93796,174389,0.987273335,,
,Haryana,2024-10-01T00:00:00Z,312916,230193,78714,308907,0.987188255,,
,Jharkhand,2024-06-01T00:00:00Z,184711,84135,98198,182333,0.987125834,,
,Telangana,2024-02-01T00:00:00Z,361984,186951,170365,357316,0.987104402,,
,Delhi,2024-07-01T00:00:00Z,446959,328796,112393,441189,0.987090539,,
,Haryana,2024-05-01T00:00:00Z,309950,232629,73312,305941,0.987065656,,
,Chhattisgarh,2023-11-01T00:00:00Z,77611,43322,33277,76599,0.986960611,,
5,Uttarakhand,2023-02-01T00:00:00Z,86219,49878,35215,85093,0.986940234,,
9,Uttar Pradesh,2023-02-01T00:00:00Z,922519,481700,428771,910471,0.986940106,,
18,Assam,2023-02-01T00:00:00Z,122070,51265,69208,120473,0.986917343,,
,Odisha,2024-07-01T00:00:00Z,179361,77306,99708,177014,0.986914658,,
,West Bengal,2023-05-01T00:00:00Z,389922,217609,167170,384779,0.986810183,,
,Maharashtra,2023-05-01T00:00:00Z,854298,582090,260924,843014,0.986791494,,
,Puducherry,2024-04-01T00:00:00Z,19014,10278,8484,18762,0.986746608,,
,Tamil Nadu,2024-08-01T00:00:00Z,961845,799607,149479,949086,0.986734869,,
,Rajasthan,2024-09-01T00:00:00Z,736224,436446,289882,726328,0.986558439,,
,Meghalaya,2024-03-01T00:00:00Z,27339,7953,19018,26971,0.986539376,,
,Uttar Pradesh,2024-10-01T00:00:00Z,1025067,510524,500736,1011260,0.986530637,,
3,Punjab,2023-02-01T00:00:00Z,166689,132649,31789,164438,0.98649581,,
,Karnataka,2023-11-01T00:00:00Z,697437,423616,264392,688008,0.986480499,,
,Goa,2024-08-01T00:00:00Z,25148,18952,5851,24803,0.986281215,,
,Tamil Nadu,2024-12-01T00:00:00Z,1071657,701231,355682,1056913,0.986241867,,
,Kerala,2024-08-01T00:00:00Z,297227,227545,65576,293121,0.986185643,,
,Andhra Pradesh,2023-07-01T00:00:00Z,257356,135142,118657,253799,0.986178679,,
,Jharkhand,2024-02-01T00:00:00Z,136058,65827,68338,134165,0.986086816,,
,Karnataka,2024-02-01T00:00:00Z,708485,430600,268005,698605,0.986054751,,
,Chhattisgarh,2024-12-01T00:00:00Z,147023,77813,67159,144972,0.986049802,,
,Delhi,2024-09-01T00:00:00Z,775718,548463,216429,764892,0.986043897,,
,Andaman and Nicobar Islands,2024-08-01T00:00:00Z,3795,2635,1107,3742,0.986034256,,
,Puducherry,2023-10-01T00:00:00Z,18665,10328,8076,18404,0.986016609,,
,Karnataka,2024-04-01T00:00:00Z,709794,416417,283364,699781,0.98589309,,
,Puducherry,2023-05-01T00:00:00Z,18615,9731,8621,18352,0.985871609,,
,Telangana,2024-07-01T00:00:00Z,368991,187437,176332,363769,0.985847893,,
,Delhi,2023-10-01T00:00:00Z,431686,312341,113230,425571,0.985834611,,
26,Dadra and Nagar Haveli,2023-02-01T00:00:00Z,11707,9376,2165,11541,0.985820449,,
,Delhi,2023-07-01T00:00:00Z,429537,312302,111121,423423,0.985766069,,
37,Andhra Pradesh,2023-03-01T00:00:00Z,309142,156753,147976,304729,0.985725007,,
24,Gujarat,2022-07-01T00:00:00Z,599279,475467,115255,590722,0.985721175,,
,Punjab,2023-05-01T00:00:00Z,170538,130540,37556,168096,0.985680611,,
,Haryana,2023-05-01T00:00:00Z,290906,210450,76289,286739,0.985675785,,
,Mizoram,2023-12-01T00:00:00Z,6974,1440,5434,6874,0.985661027,,
,Lakshadweep,2024-04-01T00:00:00Z,209,104,102,206,0.985645933,,
4,Chandigarh,2021-05-01T00:00:00Z,15350,2883,12246,15129,0.985602606,,
,Chandigarh,2025-01-01T00:00:00Z,17858,14550,3050,17600,0.985552693,,
24,Gujarat,2022-03-01T00:00:00Z,986775,751300,221177,972477,0.985510375,,
,Haryana,2024-12-01T00:00:00Z,530087,390157,132239,522396,0.985491061,,
,Uttarakhand,2024-02-01T00:00:00Z,90782,51914,37549,89463,0.985470688,,
,Bihar,2023-12-01T00:00:00Z,494059,152139,334720,486859,0.985426842,,
,Odisha,2024-06-01T00:00:00Z,304709,116467,183797,300264,0.985412311,,
,West Bengal,2024-09-01T00:00:00Z,693825,355174,328522,683696,0.985401218,,
,Assam,2024-03-01T00:00:00Z,187636,64548,120342,184890,0.985365282,,
,Assam,2024-06-01T00:00:00Z,186733,69094,114903,183997,0.985348064,,
,Nagaland,2024-02-01T00:00:00Z,6608,2145,4366,6511,0.985320823,,
19,West Bengal,2023-02-01T00:00:00Z,381893,221086,155191,376277,0.98529431,,
1,Jammu and Kashmir,2023-01-01T00:00:00Z,70382,31540,37806,69346,0.985280327,,
,West Bengal,2024-02-01T00:00:00Z,412255,239006,167174,406180,0.985263975,,
,Andhra Pradesh,2024-07-01T00:00:00Z,267358,136150,127266,263416,0.985255725,,
24,Gujarat,2022-04-01T00:00:00Z,586507,465690,112149,577839,0.985220978,,
,Tripura,2024-10-01T00:00:00Z,20778,8948,11521,20469,0.985128501,,
,Tripura,2024-05-01T00:00:00Z,20519,8877,11336,20213,0.985086993,,
,Arunachal Pradesh,2023-05-01T00:00:00Z,10057,2717,7190,9907,0.985085015,,
,Meghalaya,2024-07-01T00:00:00Z,14274,4206,9855,14061,0.985077764,,
,Puducherry,2023-11-01T00:00:00Z,18792,10366,8145,18511,0.985046828,,
,Maharashtra,2024-05-01T00:00:00Z,910737,655700,241337,897037,0.984957238,,
,Kerala,2024-10-01T00:00:00Z,298328,179641,114184,293825,0.984905875,,
,Jharkhand,2023-11-01T00:00:00Z,133676,63270,68378,131648,0.984828989,,
,Rajasthan,2024-10-01T00:00:00Z,328692,228451,95253,323704,0.984824699,,
24,Gujarat,2022-10-01T00:00:00Z,610453,498057,103130,601187,0.984821108,,
,Puducherry,2023-06-01T00:00:00Z,20702,11077,9309,20386,0.984735774,,
,Sikkim,2024-01-01T00:00:00Z,6297,2627,3573,6200,0.984595839,,
,Jharkhand,2024-07-01T00:00:00Z,138323,64155,72036,136191,0.9845868,,
,Maharashtra,2025-01-01T00:00:00Z,933166,699194,219555,918749,0.984550444,,
4,Chandigarh,2022-02-01T00:00:00Z,15831,12366,3220,15586,0.984524035,,
