STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025
1,Jammu and Kashmir,2017-07-01T00:00:00Z,52455,26501,22947,49448,0.942674673529692
2,Himachal Pradesh,2017-07-01T00:00:00Z,53013,31134,19999,51133,0.964537000358403
3,Punjab,2017-07-01T00:00:00Z,220786,156554,56528,213082,0.965106483200928
4,Chandigarh,2017-07-01T00:00:00Z,20632,14826,5853,20679,1.00227801473439
5,Uttarakhand,2017-07-01T00:00:00Z,85370,34316,47257,81573,0.955523017453438
6,Haryana,2017-07-01T00:00:00Z,260418,159587,97619,257206,0.987665983150166
7,Delhi,2017-07-01T00:00:00Z,442968,307172,141369,448541,1.01258104422893
8,Rajasthan,2017-07-01T00:00:00Z,399525,251205,139876,391081,0.97886490207121
9,Uttar Pradesh,2017-07-01T00:00:00Z,738006,398357,319847,718204,0.973168239824608
10,Bihar,2017-07-01T00:00:00Z,187455,83443,92030,175473,0.936080659358246
11,Sikkim,2017-07-01T00:00:00Z,3154,1941,1091,3032,0.961318960050729
12,Arunachal Pradesh,2017-07-01T00:00:00Z,4103,1212,2554,3766,0.91786497684621
13,Nagaland,2017-07-01T00:00:00Z,3917,934,2538,3472,0.886392647434261
14,Manipur,2017-07-01T00:00:00Z,4283,1431,2410,3841,0.896801307494747
15,Mizoram,2017-07-01T00:00:00Z,2451,796,1476,2272,0.926968584251326
16,Tripura,2017-07-01T00:00:00Z,13528,5590,7311,12901,0.953651685393258
17,Meghalaya,2017-07-01T00:00:00Z,11989,3931,7096,11027,0.919759779798148
18,Assam,2017-07-01T00:00:00Z,97283,37502,48828,86330,0.88741095566543
19,West Bengal,2017-07-01T00:00:00Z,347020,219688,106240,325928,0.939219641519221
20,Jharkhand,2017-07-01T00:00:00Z,82880,46423,34150,80573,0.972164575289575
21,Odisha,2017-07-01T00:00:00Z,139875,45509,89517,135026,0.965333333333333
22,Chhattisgarh,2017-07-01T00:00:00Z,83399,34671,44566,79237,0.950095324883991
23,Madhya Pradesh,2017-07-01T00:00:00Z,257308,106142,148956,255098,0.991411071556267
24,Gujarat,2017-07-01T00:00:00Z,564539,311664,244012,555676,0.98430046462689
25,Daman and Diu,2017-07-01T00:00:00Z,4349,2952,1375,4327,0.994941365831226
26,Dadra and Nagar Haveli,2017-07-01T00:00:00Z,5291,3187,1996,5183,0.97958797958798
27,Maharashtra,2017-07-01T00:00:00Z,914892,582682,319658,902340,0.986280347844336
29,Karnataka,2017-07-01T00:00:00Z,503407,264970,234886,499856,0.992946065509618
30,Goa,2017-07-01T00:00:00Z,22196,10043,11687,21730,0.979005226166877
31,Lakshadweep,2017-07-01T00:00:00Z,90,25,49,74,0.822222222222222
32,Kerala,2017-07-01T00:00:00Z,215930,113438,101727,215165,0.996457185198907
33,Tamil Nadu,2017-07-01T00:00:00Z,624866,312517,291129,603646,0.966040719130182
34,Puducherry,2017-07-01T00:00:00Z,14080,7676,6292,13968,0.992045454545455
35,Andaman and Nicobar Islands,2017-07-01T00:00:00Z,2489,703,1472,2175,0.873844917637605
36,Telangana,2017-07-01T00:00:00Z,201614,82109,111977,194086,0.962661323122402
37,Andhra Pradesh,2017-07-01T00:00:00Z,198028,105432,84068,189500,0.956935382875149
38,Ladakh,2017-07-01T00:00:00Z,,,,0,
97,Other Territory,2017-07-01T00:00:00Z,,,,0,
1,Jammu and Kashmir,2017-08-01T00:00:00Z,58371,20534,35122,55656,0.953487176851519
2,Himachal Pradesh,2017-08-01T00:00:00Z,58745,21838,33932,55770,0.949357392118478
3,Punjab,2017-08-01T00:00:00Z,239311,146224,85976,232200,0.970285528036739
4,Chandigarh,2017-08-01T00:00:00Z,22318,12862,9409,22271,0.997894076530155
5,Uttarakhand,2017-08-01T00:00:00Z,94845,26778,62069,88847,0.93675997680426
6,Haryana,2017-08-01T00:00:00Z,286641,130400,150716,281116,0.980725018402811
7,Delhi,2017-08-01T00:00:00Z,492379,214872,276666,491538,0.998291966148028
8,Rajasthan,2017-08-01T00:00:00Z,422945,180075,230383,410458,0.970476066628049
9,Uttar Pradesh,2017-08-01T00:00:00Z,835866,353698,446735,800433,0.957609234015979
10,Bihar,2017-08-01T00:00:00Z,213585,56009,138266,194275,0.909591029332584
11,Sikkim,2017-08-01T00:00:00Z,3593,1444,1970,3414,0.950180907319788
12,Arunachal Pradesh,2017-08-01T00:00:00Z,5300,716,3916,4632,0.873962264150943
13,Nagaland,2017-08-01T00:00:00Z,4679,564,3400,3964,0.84718957042103
14,Manipur,2017-08-01T00:00:00Z,5619,787,4032,4819,0.857625912084001
15,Mizoram,2017-08-01T00:00:00Z,2976,562,2116,2678,0.89986559139785
16,Tripura,2017-08-01T00:00:00Z,15567,3316,11254,14570,0.935954262221366
17,Meghalaya,2017-08-01T00:00:00Z,13712,2678,9605,12283,0.89578471411902
18,Assam,2017-08-01T00:00:00Z,111825,20779,74076,94855,0.848245025709814
19,West Bengal,2017-08-01T00:00:00Z,405036,135795,244804,380599,0.939667091320278
20,Jharkhand,2017-08-01T00:00:00Z,95439,33373,57278,90651,0.949831829755132
21,Odisha,2017-08-01T00:00:00Z,154796,43923,101804,145727,0.941413214811752
22,Chhattisgarh,2017-08-01T00:00:00Z,90219,26288,58778,85066,0.942883428102728
23,Madhya Pradesh,2017-08-01T00:00:00Z,276943,72970,197069,270039,0.975070682414793
24,Gujarat,2017-08-01T00:00:00Z,641658,248716,381768,630484,0.982585738820369
25,Daman and Diu,2017-08-01T00:00:00Z,4781,2112,2597,4709,0.98494038903995
26,Dadra and Nagar Haveli,2017-08-01T00:00:00Z,6053,2491,3354,5845,0.965636874277218
27,Maharashtra,2017-08-01T00:00:00Z,1006222,420286,566733,987019,0.98091574225171
29,Karnataka,2017-08-01T00:00:00Z,530355,209672,309526,519198,0.978963147325848
30,Goa,2017-08-01T00:00:00Z,23786,8001,15165,23166,0.973934247036072
31,Lakshadweep,2017-08-01T00:00:00Z,220,56,115,171,0.777272727272727
32,Kerala,2017-08-01T00:00:00Z,227531,52149,173189,225338,0.990361752904
33,Tamil Nadu,2017-08-01T00:00:00Z,673862,202444,440648,643092,0.954337831781581
34,Puducherry,2017-08-01T00:00:00Z,15013,5280,9599,14879,0.991074402184773
35,Andaman and Nicobar Islands,2017-08-01T00:00:00Z,3574,347,2624,2971,0.831281477336318
36,Telangana,2017-08-01T00:00:00Z,223860,63297,148210,211507,0.944818189940141
37,Andhra Pradesh,2017-08-01T00:00:00Z,209596,72423,128965,201388,0.960838947308155
38,Ladakh,2017-08-01T00:00:00Z,,,,0,
97,Other Territory,2017-08-01T00:00:00Z,21,0,20,20,0.952380952380952
1,Jammu and Kashmir,2017-09-01T00:00:00Z,62528,28171,31409,59580,0.952853121801433
2,Himachal Pradesh,2017-09-01T00:00:00Z,61691,30755,28219,58974,0.955957919307517
3,Punjab,2017-09-01T00:00:00Z,247374,175334,67649,242983,0.982249549265485
4,Chandigarh,2017-09-01T00:00:00Z,23418,15474,7824,23298,0.994875736612862
5,Uttarakhand,2017-09-01T00:00:00Z,100078,36786,56716,93502,0.934291252822798
6,Haryana,2017-09-01T00:00:00Z,302837,170439,125921,296360,0.978612256758586
7,Delhi,2017-09-01T00:00:00Z,521051,290005,226532,516537,0.99133674054939
8,Rajasthan,2017-09-01T00:00:00Z,435929,225342,199989,425331,0.97568870160049
9,Uttar Pradesh,2017-09-01T00:00:00Z,887856,446715,403648,850363,0.957771305256708
10,Bihar,2017-09-01T00:00:00Z,222312,78700,125338,204038,0.917800208715679
11,Sikkim,2017-09-01T00:00:00Z,3804,1527,2112,3639,0.956624605678234
12,Arunachal Pradesh,2017-09-01T00:00:00Z,6068,1075,4130,5205,0.857778510217535
13,Nagaland,2017-09-01T00:00:00Z,4915,772,3465,4237,0.86205493387589
14,Manipur,2017-09-01T00:00:00Z,6564,1211,4274,5485,0.835618525289458
15,Mizoram,2017-09-01T00:00:00Z,3300,789,2132,2921,0.885151515151515
16,Tripura,2017-09-01T00:00:00Z,16398,5532,9798,15330,0.934870106110501
17,Meghalaya,2017-09-01T00:00:00Z,14696,3598,9464,13062,0.888813282525857
18,Assam,2017-09-01T00:00:00Z,114311,29949,69256,99205,0.867851737803011
19,West Bengal,2017-09-01T00:00:00Z,416031,206247,195209,401456,0.964966552973216
20,Jharkhand,2017-09-01T00:00:00Z,100685,50897,45424,96321,0.956656900233401
21,Odisha,2017-09-01T00:00:00Z,162133,64338,87659,151997,0.937483424102435
22,Chhattisgarh,2017-09-01T00:00:00Z,93983,30665,57697,88362,0.940191311194578
23,Madhya Pradesh,2017-09-01T00:00:00Z,290350,114822,166085,280907,0.967477182710522
24,Gujarat,2017-09-01T00:00:00Z,682019,348917,322779,671696,0.984864058039439
25,Daman and Diu,2017-09-01T00:00:00Z,5056,2739,2212,4951,0.979232594936709
26,Dadra and Nagar Haveli,2017-09-01T00:00:00Z,6403,3363,2827,6190,0.966734343276589
27,Maharashtra,2017-09-01T00:00:00Z,1060520,557237,484892,1042129,0.982658507147437
29,Karnataka,2017-09-01T00:00:00Z,553919,285816,252314,538130,0.971495832423152
30,Goa,2017-09-01T00:00:00Z,25339,11312,13110,24422,0.963810726548009
31,Lakshadweep,2017-09-01T00:00:00Z,258,64,121,185,0.717054263565892
32,Kerala,2017-09-01T00:00:00Z,233233,117016,114214,231230,0.99141202145494
33,Tamil Nadu,2017-09-01T00:00:00Z,700632,324032,341468,665500,0.949856700807271
34,Puducherry,2017-09-01T00:00:00Z,15568,8023,7401,15424,0.990750256937307
35,Andaman and Nicobar Islands,2017-09-01T00:00:00Z,3908,416,2818,3234,0.827533265097237
36,Telangana,2017-09-01T00:00:00Z,234895,90635,131868,222503,0.947244513506035
37,Andhra Pradesh,2017-09-01T00:00:00Z,216950,109070,99995,209065,0.963655220096797
38,Ladakh,2017-09-01T00:00:00Z,,,,0,
97,Other Territory,2017-09-01T00:00:00Z,25,0,24,24,0.96
1,Jammu and Kashmir,2017-10-01T00:00:00Z,62319,33108,25905,59013,0.9469503682665
2,Himachal Pradesh,2017-10-01T00:00:00Z,58791,31696,24017,55713,0.947645047711384
3,Punjab,2017-10-01T00:00:00Z,247069,184296,56495,240791,0.974590094265165
4,Chandigarh,2017-10-01T00:00:00Z,23532,15725,7336,23061,0.979984701682815
5,Uttarakhand,2017-10-01T00:00:00Z,94880,42018,45603,87621,0.923492833052277
6,Haryana,2017-10-01T00:00:00Z,306332,193777,102610,296387,0.967535223221864
7,Delhi,2017-10-01T00:00:00Z,532973,312738,206746,519484,0.974691025624187
8,Rajasthan,2017-10-01T00:00:00Z,418736,252332,153445,405777,0.969052099652287
9,Uttar Pradesh,2017-10-01T00:00:00Z,809536,486652,282944,769596,0.950663095896909
10,Bihar,2017-10-01T00:00:00Z,205062,92955,93922,186877,0.911319503369713
11,Sikkim,2017-10-01T00:00:00Z,3745,1818,1756,3574,0.9543391188251
12,Arunachal Pradesh,2017-10-01T00:00:00Z,6212,1478,3899,5377,0.865582743077914
13,Nagaland,2017-10-01T00:00:00Z,4750,938,3132,4070,0.856842105263158
14,Manipur,2017-10-01T00:00:00Z,6945,1425,4291,5716,0.823038156947444
15,Mizoram,2017-10-01T00:00:00Z,3491,1012,2043,3055,0.875107419077628
16,Tripura,2017-10-01T00:00:00Z,16060,7554,7351,14905,0.928082191780822
17,Meghalaya,2017-10-01T00:00:00Z,14641,5305,7717,13022,0.889420121576395
18,Assam,2017-10-01T00:00:00Z,110497,37783,57611,95394,0.863317556132746
19,West Bengal,2017-10-01T00:00:00Z,422302,243472,159554,403026,0.954354940303385
20,Jharkhand,2017-10-01T00:00:00Z,101040,56454,39353,95807,0.948208630245447
21,Odisha,2017-10-01T00:00:00Z,159167,75101,71281,146382,0.919675560888878
22,Chhattisgarh,2017-10-01T00:00:00Z,87850,34199,47652,81851,0.931713147410359
23,Madhya Pradesh,2017-10-01T00:00:00Z,274212,135768,126721,262489,0.957248406342538
24,Gujarat,2017-10-01T00:00:00Z,673475,390745,271269,662014,0.982982293329374
25,Daman and Diu,2017-10-01T00:00:00Z,5091,2853,2098,4951,0.97250049106266
26,Dadra and Nagar Haveli,2017-10-01T00:00:00Z,6534,3614,2643,6257,0.957606366697276
27,Maharashtra,2017-10-01T00:00:00Z,1054857,585598,445717,1031315,0.977682283001393
29,Karnataka,2017-10-01T00:00:00Z,537199,317680,196417,514097,0.95699545233703
30,Goa,2017-10-01T00:00:00Z,25168,12599,11384,23983,0.952916401780038
31,Lakshadweep,2017-10-01T00:00:00Z,250,69,107,176,0.704
32,Kerala,2017-10-01T00:00:00Z,227665,131417,92190,223607,0.982175564974853
33,Tamil Nadu,2017-10-01T00:00:00Z,688720,395873,252481,648354,0.941389824602161
34,Puducherry,2017-10-01T00:00:00Z,15548,9073,6091,15164,0.975302289683561
35,Andaman and Nicobar Islands,2017-10-01T00:00:00Z,3837,606,2563,3169,0.825905655459995
36,Telangana,2017-10-01T00:00:00Z,230496,111055,105116,216171,0.937851416076635
37,Andhra Pradesh,2017-10-01T00:00:00Z,208658,118928,79287,198215,0.949951595433676
38,Ladakh,2017-10-01T00:00:00Z,,,,0,
97,Other Territory,2017-10-01T00:00:00Z,31,10,18,28,0.903225806451613
1,Jammu and Kashmir,2017-11-01T00:00:00Z,64586,36389,24262,60651,0.939073483417459
2,Himachal Pradesh,2017-11-01T00:00:00Z,59931,35381,21006,56387,0.940865328461064
3,Punjab,2017-11-01T00:00:00Z,250968,195847,47580,243427,0.969952344522011
4,Chandigarh,2017-11-01T00:00:00Z,23908,17463,5776,23239,0.97201773464949
5,Uttarakhand,2017-11-01T00:00:00Z,97711,50544,38453,88997,0.910818638638434
6,Haryana,2017-11-01T00:00:00Z,314476,216728,84753,301481,0.958677291748814
7,Delhi,2017-11-01T00:00:00Z,546473,356584,169629,526213,0.962925890208665
8,Rajasthan,2017-11-01T00:00:00Z,427452,284148,126999,411147,0.961855366216558
9,Uttar Pradesh,2017-11-01T00:00:00Z,834136,559528,224743,784271,0.940219580500062
10,Bihar,2017-11-01T00:00:00Z,214100,106382,85124,191506,0.894469873890705
11,Sikkim,2017-11-01T00:00:00Z,3884,1943,1735,3678,0.946961894953656
12,Arunachal Pradesh,2017-11-01T00:00:00Z,6518,1666,3942,5608,0.860386621663087
13,Nagaland,2017-11-01T00:00:00Z,4877,970,3134,4104,0.84150092269838
14,Manipur,2017-11-01T00:00:00Z,7331,1703,4243,5946,0.811076251534579
15,Mizoram,2017-11-01T00:00:00Z,3656,1167,1981,3148,0.861050328227571
16,Tripura,2017-11-01T00:00:00Z,16663,8320,6879,15199,0.912140670947608
17,Meghalaya,2017-11-01T00:00:00Z,15103,5702,7517,13219,0.875256571542078
18,Assam,2017-11-01T00:00:00Z,113702,42970,53880,96850,0.851788007247014
19,West Bengal,2017-11-01T00:00:00Z,436034,272747,140055,412802,0.946719751212061
20,Jharkhand,2017-11-01T00:00:00Z,104889,63541,34885,98426,0.938382480527033
21,Odisha,2017-11-01T00:00:00Z,164732,86492,62441,148933,0.904092708156278
22,Chhattisgarh,2017-11-01T00:00:00Z,90015,41022,41534,82556,0.917136032883408
23,Madhya Pradesh,2017-11-01T00:00:00Z,281366,163840,101581,265421,0.943330039876886
24,Gujarat,2017-11-01T00:00:00Z,688205,467824,206582,674406,0.979949288366112
25,Daman and Diu,2017-11-01T00:00:00Z,5195,3065,1951,5016,0.965543792107796
26,Dadra and Nagar Haveli,2017-11-01T00:00:00Z,6703,4003,2353,6356,0.948232134864986
27,Maharashtra,2017-11-01T00:00:00Z,1076657,666974,379739,1046713,0.972187985588725
29,Karnataka,2017-11-01T00:00:00Z,549345,347652,170927,518579,0.943995121462833
30,Goa,2017-11-01T00:00:00Z,25951,13476,11008,24484,0.94347038649763
31,Lakshadweep,2017-11-01T00:00:00Z,254,61,113,174,0.68503937007874
32,Kerala,2017-11-01T00:00:00Z,232586,139038,87866,226904,0.975570326674864
33,Tamil Nadu,2017-11-01T00:00:00Z,702649,428565,224450,653015,0.929361601596245
34,Puducherry,2017-11-01T00:00:00Z,15726,9554,5747,15301,0.972974691593539
35,Andaman and Nicobar Islands,2017-11-01T00:00:00Z,3971,676,2551,3227,0.812641651976832
36,Telangana,2017-11-01T00:00:00Z,237791,123033,96002,219035,0.921124012262869
37,Andhra Pradesh,2017-11-01T00:00:00Z,214751,129425,70862,200287,0.932647577892536
38,Ladakh,2017-11-01T00:00:00Z,,,,0,
97,Other Territory,2017-11-01T00:00:00Z,35,13,20,33,0.942857142857143
1,Jammu and Kashmir,2017-12-01T00:00:00Z,66074,42030,19780,61810,0.935466295365802
2,Himachal Pradesh,2017-12-01T00:00:00Z,60956,41404,15735,57139,0.937381061749459
3,Punjab,2017-12-01T00:00:00Z,254559,211686,34212,245898,0.965976453395873
4,Chandigarh,2017-12-01T00:00:00Z,24261,19033,4387,23420,0.96533531181732
5,Uttarakhand,2017-12-01T00:00:00Z,99756,58927,31355,90282,0.905028268976302
6,Haryana,2017-12-01T00:00:00Z,321480,240271,66376,306647,0.95386027124549
7,Delhi,2017-12-01T00:00:00Z,558644,400879,132872,533751,0.955440316194213
8,Rajasthan,2017-12-01T00:00:00Z,433360,314825,100690,415515,0.958821764814473
9,Uttar Pradesh,2017-12-01T00:00:00Z,847512,621454,171851,793305,0.936039843683629
10,Bihar,2017-12-01T00:00:00Z,219776,122495,73021,195516,0.889614880605708
11,Sikkim,2017-12-01T00:00:00Z,4003,2321,1437,3758,0.938795903072695
12,Arunachal Pradesh,2017-12-01T00:00:00Z,6705,2022,3770,5792,0.863832960477256
13,Nagaland,2017-12-01T00:00:00Z,4778,1260,2804,4064,0.850565089995814
14,Manipur,2017-12-01T00:00:00Z,7712,2101,4109,6210,0.805238589211618
15,Mizoram,2017-12-01T00:00:00Z,3748,1312,1883,3195,0.852454642475987
16,Tripura,2017-12-01T00:00:00Z,16864,8900,6447,15347,0.910045066413662
17,Meghalaya,2017-12-01T00:00:00Z,15398,6252,7130,13382,0.869073905702039
18,Assam,2017-12-01T00:00:00Z,114563,48429,48849,97278,0.849122316978431
19,West Bengal,2017-12-01T00:00:00Z,443892,294267,124925,419192,0.944355834302037
20,Jharkhand,2017-12-01T00:00:00Z,108087,70612,30334,100946,0.933932850389039
21,Odisha,2017-12-01T00:00:00Z,168723,97072,54494,151566,0.898312618907914
22,Chhattisgarh,2017-12-01T00:00:00Z,90937,48492,34615,83107,0.913896433794825
23,Madhya Pradesh,2017-12-01T00:00:00Z,286853,186782,82124,268906,0.937434853391807
24,Gujarat,2017-12-01T00:00:00Z,698869,524420,160001,684421,0.979326597688551
25,Daman and Diu,2017-12-01T00:00:00Z,5254,3438,1611,5049,0.960982108869433
26,Dadra and Nagar Haveli,2017-12-01T00:00:00Z,6809,4527,1919,6446,0.946688206785137
27,Maharashtra,2017-12-01T00:00:00Z,1094504,742207,319125,1061332,0.96969220761185
29,Karnataka,2017-12-01T00:00:00Z,556414,380553,142487,523040,0.940019481896573
30,Goa,2017-12-01T00:00:00Z,26231,15466,9225,24691,0.941290839083527
31,Lakshadweep,2017-12-01T00:00:00Z,253,67,100,167,0.660079051383399
32,Kerala,2017-12-01T00:00:00Z,234754,150254,78433,228687,0.974155924925667
33,Tamil Nadu,2017-12-01T00:00:00Z,712131,453712,204498,658210,0.924282189653308
34,Puducherry,2017-12-01T00:00:00Z,15975,9994,5475,15469,0.968325508607199
35,Andaman and Nicobar Islands,2017-12-01T00:00:00Z,4016,882,2359,3241,0.807021912350598
36,Telangana,2017-12-01T00:00:00Z,241225,137227,83968,221195,0.916965488651674
37,Andhra Pradesh,2017-12-01T00:00:00Z,215764,140154,61315,201469,0.933747056969652
38,Ladakh,2017-12-01T00:00:00Z,,,,0,
97,Other Territory,2017-12-01T00:00:00Z,36,22,13,35,0.972222222222222
1,Jammu and Kashmir,2018-01-01T00:00:00Z,68002,42155,21197,63352,0.931619658245346
2,Himachal Pradesh,2018-01-01T00:00:00Z,63084,42168,16690,58858,0.933009954980661
3,Punjab,2018-01-01T00:00:00Z,257888,208263,40183,248446,0.963387206849485
4,Chandigarh,2018-01-01T00:00:00Z,24572,18534,5089,23623,0.961378805144066
5,Uttarakhand,2018-01-01T00:00:00Z,102558,60515,31802,92317,0.900144308586361
6,Haryana,2018-01-01T00:00:00Z,329345,234939,78387,313326,0.951361034781157
7,Delhi,2018-01-01T00:00:00Z,570701,386553,155701,542254,0.950154283942029
8,Rajasthan,2018-01-01T00:00:00Z,442318,309691,112649,422340,0.954833400404234
9,Uttar Pradesh,2018-01-01T00:00:00Z,871836,620590,189342,809932,0.92899582031483
10,Bihar,2018-01-01T00:00:00Z,227120,126359,74259,200618,0.883312786192321
11,Sikkim,2018-01-01T00:00:00Z,4104,2296,1553,3849,0.937865497076023
12,Arunachal Pradesh,2018-01-01T00:00:00Z,6982,2222,3769,5991,0.858063592093956
13,Nagaland,2018-01-01T00:00:00Z,4855,1533,2559,4092,0.842842430484037
14,Manipur,2018-01-01T00:00:00Z,7971,2230,4145,6375,0.799774181407603
15,Mizoram,2018-01-01T00:00:00Z,3817,1558,1686,3244,0.849882106366256
16,Tripura,2018-01-01T00:00:00Z,17122,9277,6253,15530,0.907020207919636
17,Meghalaya,2018-01-01T00:00:00Z,15791,6482,7139,13621,0.862579950604775
18,Assam,2018-01-01T00:00:00Z,116010,50569,47558,98127,0.845849495733126
19,West Bengal,2018-01-01T00:00:00Z,453793,306431,120927,427358,0.941746567267455
20,Jharkhand,2018-01-01T00:00:00Z,111749,72363,31386,103749,0.928410992492103
21,Odisha,2018-01-01T00:00:00Z,174193,100133,55394,155527,0.89284299598721
22,Chhattisgarh,2018-01-01T00:00:00Z,92590,49384,34705,84089,0.908186629225618
23,Madhya Pradesh,2018-01-01T00:00:00Z,294248,185757,88648,274405,0.932563687773579
24,Gujarat,2018-01-01T00:00:00Z,712579,520899,175955,696854,0.97793227136921
25,Daman and Diu,2018-01-01T00:00:00Z,5330,3334,1759,5093,0.955534709193246
26,Dadra and Nagar Haveli,2018-01-01T00:00:00Z,6964,4365,2203,6568,0.943136128661689
27,Maharashtra,2018-01-01T00:00:00Z,1114066,724962,353134,1078096,0.967712864408392
29,Karnataka,2018-01-01T00:00:00Z,568190,380462,151207,531669,0.935723965574896
30,Goa,2018-01-01T00:00:00Z,26753,15607,9479,25086,0.937689231114268
31,Lakshadweep,2018-01-01T00:00:00Z,257,73,96,169,0.657587548638132
32,Kerala,2018-01-01T00:00:00Z,238699,142300,89757,232057,0.972174160763137
33,Tamil Nadu,2018-01-01T00:00:00Z,722496,458744,206154,664898,0.920279143413943
34,Puducherry,2018-01-01T00:00:00Z,16258,10082,5605,15687,0.964878828884242
35,Andaman and Nicobar Islands,2018-01-01T00:00:00Z,4109,919,2376,3295,0.801898272085666
36,Telangana,2018-01-01T00:00:00Z,247652,137576,88219,225795,0.911743091111721
37,Andhra Pradesh,2018-01-01T00:00:00Z,219257,141222,62888,204110,0.930916686810455
38,Ladakh,2018-01-01T00:00:00Z,,,,0,
97,Other Territory,2018-01-01T00:00:00Z,43,27,13,40,0.930232558139535
1,Jammu and Kashmir,2018-02-01T00:00:00Z,69822,42923,21866,64789,0.927916702472
2,Himachal Pradesh,2018-02-01T00:00:00Z,65105,43294,17384,60678,0.932002150372475
3,Punjab,2018-02-01T00:00:00Z,261849,209508,42302,251810,0.961661110029063
4,Chandigarh,2018-02-01T00:00:00Z,24962,18998,4967,23965,0.960059290120984
5,Uttarakhand,2018-02-01T00:00:00Z,105004,62029,32139,94168,0.896803931278808
6,Haryana,2018-02-01T00:00:00Z,337143,240084,80017,320101,0.949451716334019
7,Delhi,2018-02-01T00:00:00Z,582444,389890,161168,551058,0.946113274409214
8,Rajasthan,2018-02-01T00:00:00Z,449574,310935,117842,428777,0.953740652261919
9,Uttar Pradesh,2018-02-01T00:00:00Z,895908,630707,198360,829067,0.925393009103613
10,Bihar,2018-02-01T00:00:00Z,234730,125500,80561,206061,0.877863928769224
11,Sikkim,2018-02-01T00:00:00Z,4277,2380,1601,3981,0.930792611643675
12,Arunachal Pradesh,2018-02-01T00:00:00Z,7381,2406,3866,6272,0.849749356455765
13,Nagaland,2018-02-01T00:00:00Z,4849,1405,2644,4049,0.835017529387503
14,Manipur,2018-02-01T00:00:00Z,8210,2382,4111,6493,0.790864799025579
15,Mizoram,2018-02-01T00:00:00Z,3954,1641,1691,3332,0.842690945877592
16,Tripura,2018-02-01T00:00:00Z,17347,9247,6423,15670,0.903326223554505
17,Meghalaya,2018-02-01T00:00:00Z,15996,6623,7119,13742,0.859089772443111
18,Assam,2018-02-01T00:00:00Z,119071,50255,49557,99812,0.838256166488902
19,West Bengal,2018-02-01T00:00:00Z,463943,310097,125910,436007,0.939785706433765
20,Jharkhand,2018-02-01T00:00:00Z,115174,70747,35852,106599,0.92554743258027
21,Odisha,2018-02-01T00:00:00Z,178748,101524,57507,159031,0.889693870700651
22,Chhattisgarh,2018-02-01T00:00:00Z,93525,49195,35713,84908,0.907864207431168
23,Madhya Pradesh,2018-02-01T00:00:00Z,299740,183727,94993,278720,0.929872556215387
24,Gujarat,2018-02-01T00:00:00Z,723682,531204,176001,707205,0.977231712271412
25,Daman and Diu,2018-02-01T00:00:00Z,5406,3462,1702,5164,0.955234924158343
26,Dadra and Nagar Haveli,2018-02-01T00:00:00Z,7075,4517,2137,6654,0.940494699646643
27,Maharashtra,2018-02-01T00:00:00Z,1133258,741702,353264,1094966,0.966210695181503
29,Karnataka,2018-02-01T00:00:00Z,579378,380599,159350,539949,0.931945983451218
30,Goa,2018-02-01T00:00:00Z,27195,15535,9890,25425,0.934914506343078
31,Lakshadweep,2018-02-01T00:00:00Z,260,64,101,165,0.634615384615385
32,Kerala,2018-02-01T00:00:00Z,242006,140239,94826,235065,0.97131889292001
33,Tamil Nadu,2018-02-01T00:00:00Z,737038,461515,213433,674948,0.915757396497874
34,Puducherry,2018-02-01T00:00:00Z,16534,10324,5628,15952,0.964799806459417
35,Andaman and Nicobar Islands,2018-02-01T00:00:00Z,4182,911,2424,3335,0.797465327594452
36,Telangana,2018-02-01T00:00:00Z,253873,142081,88350,230431,0.907662492663655
37,Andhra Pradesh,2018-02-01T00:00:00Z,223004,138121,68839,206960,0.928055102150634
38,Ladakh,2018-02-01T00:00:00Z,,,,0,
97,Other Territory,2018-02-01T00:00:00Z,49,29,14,43,0.877551020408163
1,Jammu and Kashmir,2018-03-01T00:00:00Z,71741,41278,25075,66353,0.924896502697203
2,Himachal Pradesh,2018-03-01T00:00:00Z,67470,43082,19786,62868,0.931791907514451
3,Punjab,2018-03-01T00:00:00Z,264808,203351,51021,254372,0.960590314492009
4,Chandigarh,2018-03-01T00:00:00Z,25208,18533,5668,24201,0.960052364328785
5,Uttarakhand,2018-03-01T00:00:00Z,107596,60565,35817,96382,0.895776794676382
6,Haryana,2018-03-01T00:00:00Z,343982,234211,91726,325937,0.947540859696147
7,Delhi,2018-03-01T00:00:00Z,592372,379848,178229,558077,0.942105636323121
8,Rajasthan,2018-03-01T00:00:00Z,455889,291092,143457,434549,0.953190359934107
9,Uttar Pradesh,2018-03-01T00:00:00Z,913159,620120,225416,845536,0.925946083869293
10,Bihar,2018-03-01T00:00:00Z,238741,117767,91963,209730,0.87848337738386
11,Sikkim,2018-03-01T00:00:00Z,4449,2334,1795,4129,0.928073724432457
12,Arunachal Pradesh,2018-03-01T00:00:00Z,8072,2292,4494,6786,0.840683845391477
13,Nagaland,2018-03-01T00:00:00Z,4904,1430,2642,4072,0.830342577487765
14,Manipur,2018-03-01T00:00:00Z,8603,2704,4044,6748,0.784377542717657
15,Mizoram,2018-03-01T00:00:00Z,4048,1662,1721,3383,0.835721343873518
