STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025
24,Gujarat,2023-04-01T00:00:00Z,620995,549172,73968,623140,1.00345413409126
25,Daman and Diu,2023-04-01T00:00:00Z,0,0,,0,
26,Dadra and Nagar Haveli,2023-04-01T00:00:00Z,11569,9463,2117,11580,1.0009508168381
27,Maharashtra,2023-04-01T00:00:00Z,836037,659178,174685,833863,0.997399636618954
29,Karnataka,2023-04-01T00:00:00Z,675549,536439,130851,667290,0.987774387942251
30,Goa,2023-04-01T00:00:00Z,22737,16834,6053,22887,1.0065971764085
31,Lakshadweep,2023-04-01T00:00:00Z,184,127,58,185,1.0054347826087
32,Kerala,2023-04-01T00:00:00Z,277722,217117,58412,275529,0.992103614405773
33,Tamil Nadu,2023-04-01T00:00:00Z,912114,761287,142951,904238,0.991365114448413
34,Puducherry,2023-04-01T00:00:00Z,18445,14555,3666,18221,0.987855787476281
35,Andaman and Nicobar Islands,2023-04-01T00:00:00Z,3455,2297,1151,3448,0.997973950795948
36,Telangana,2023-04-01T00:00:00Z,336228,256701,76449,333150,0.990845497697991
37,Andhra Pradesh,2023-04-01T00:00:00Z,255558,198994,52202,251196,0.982931467612049
38,Ladakh,2023-04-01T00:00:00Z,2214,1599,759,2358,1.0650406504065
97,Other Territory,2023-04-01T00:00:00Z,84,65,3,68,0.80952380952381
1,Jammu and Kashmir,2023-05-01T00:00:00Z,72254,57600,14547,72147,0.998519113128685
2,Himachal Pradesh,2023-05-01T00:00:00Z,46110,37682,8399,46081,0.99937106918239
3,Punjab,2023-05-01T00:00:00Z,170538,143825,24681,168506,0.988084767031395
4,Chandigarh,2023-05-01T00:00:00Z,16836,14405,2385,16790,0.997267759562842
5,Uttarakhand,2023-05-01T00:00:00Z,88261,68869,18168,87037,0.986132040198955
6,Haryana,2023-05-01T00:00:00Z,290906,239596,47628,287224,0.987342990519274
7,Delhi,2023-05-01T00:00:00Z,441093,358385,73936,432321,0.980113037386674
8,Rajasthan,2023-05-01T00:00:00Z,314962,258627,52497,311124,0.987814403007347
9,Uttar Pradesh,2023-05-01T00:00:00Z,943261,769428,163310,932738,0.988844020901956
10,Bihar,2023-05-01T00:00:00Z,285702,216762,60033,276795,0.968824159438856
11,Sikkim,2023-05-01T00:00:00Z,5914,4424,1513,5937,1.00388907676699
12,Arunachal Pradesh,2023-05-01T00:00:00Z,10057,6479,3418,9897,0.984090683106294
13,Nagaland,2023-05-01T00:00:00Z,6265,4532,1747,6279,1.00223463687151
14,Manipur,2023-05-01T00:00:00Z,8763,3352,5101,8453,0.964623987218989
15,Mizoram,2023-05-01T00:00:00Z,5804,4383,1233,5616,0.967608545830462
16,Tripura,2023-05-01T00:00:00Z,18682,15210,3585,18795,1.00604860293331
17,Meghalaya,2023-05-01T00:00:00Z,13884,10628,3260,13888,1.0002881014117
18,Assam,2023-05-01T00:00:00Z,123649,90102,32081,122183,0.988143858826194
19,West Bengal,2023-05-01T00:00:00Z,389922,321793,63065,384858,0.987012787172819
20,Jharkhand,2023-05-01T00:00:00Z,129829,104511,23737,128248,0.987822443367815
