state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
15,MIZORAM,2020,9,24,724,15.50330349,64,353,97.28292033,1734,26854,397.6682467
16,TRIPURA,2020,9,1011,22864,410.3396763,338,2216,223.5687147,4027,36317,813.1611374
17,MEGHALAYA,2020,9,272,11175,182.0743894,375,24179,475.5774223,2950,36286,696.1995846
18,ASSAM,2020,9,10562,404469,7655.516767,8911,180625,6539.029723,23448,306004,8988.030465
19,WEST BENGAL,2020,9,37747,1487451,37379.64485,36209,661123,26924.03453,57321,1034617,36030.07068
20,JHARKHAND,2020,9,8246,394167,8125.60896,7264,186149,9782.159783,24804,338939,10280.18726
21,ODISHA,2020,9,12505,682802,13130.71826,5340,205447,17849.10441,29661,361041,13414.08099
22,CHHATTISGARH,2020,9,4640,163825,4366.380023,6955,147634,10248.17423,21060,311757,10709.32157
23,MADHYA PRADESH,2020,9,15419,420085,8378.556766,19056,380939,18143.69281,65668,770265,23253.18775
24,GUJARAT,2020,9,123449,3337369,82828.55526,121660,3390931,91511.40059,118345,1546898,66303.6174
25,DAMAN AND DIU,2020,9,0,0,0,1,23,0.2463776,77,527,11.50461396
26,DADRA AND NAGAR HAVELI,2020,9,2531,112228,3275.44409,3534,380520,12810.25442,4715,163113,8899.953797
27,MAHARASHTRA,2020,9,111097,4742102,108356.1806,96571,3333722,106340.2428,170878,2239770,92747.41203
29,KARNATAKA,2020,9,84300,3380379,56614.30042,44010,1572388,47730.44436,98000,1525588,53557.83745
30,GOA,2020,9,1411,58764,985.3449705,1523,59405,4192.050563,5909,91106,3184.210712
31,LAKSHADWEEP,2020,9,0,0,0,1,1,0.315,40,479,6.384442468
32,KERALA,2020,9,34101,1121500,16180.6461,13234,146094,7088.531357,45361,498701,14295.28392
33,TAMIL NADU,2020,9,72829,3512626,68484.1054,62109,1766476,64114.17642,102915,1661161,60591.11122
34,PUDUCHERRY,2020,9,850,31779,1053.998999,1732,98205,2996.222378,4959,92587,2437.203163
35,ANDAMAN AND NICOBAR,2020,9,10,462,17.36347015,49,137,14.37899317,794,7507,175.2573119
36,TELANGANA,2020,9,34395,1616019,27665.64196,29291,572482,25562.05968,56101,1037585,34242.62919
37,ANDHRA PRADESH,2020,9,29561,1311552,23194.63214,19226,392635,27764.93711,64985,778672,29154.53515
38,LADAKH,2020,9,33,566,12.66252102,39,234,12.71878738,869,10827,293.9191168
97,Other Territory,2020,9,3,62,39.88563104,23,3087,1075.279559,168,10285,1696.426724
1,JAMMU AND KASHMIR,2020,8,3756,133554,2349.147357,2247,30802,2573.89537,16276,164083,4904.10475
2,HIMACHAL PRADESH,2020,8,6808,227425,4413.370773,4577,236713,10023.53958,19043,273113,7943.142736
3,PUNJAB,2020,8,54659,1423851,30280.74181,42785,750729,21242.31911,59222,746221,22854.89104
4,CHANDIGARH,2020,8,1883,20375,293.1689102,4463,68614,1223.158432,7105,90899,1879.045787
5,UTTARAKHAND,2020,8,10156,494022,7886.44512,7273,291351,15329.01984,21063,394590,11131.7446
6,HARYANA,2020,8,59236,2386995,39590.07994,53214,2367294,53611.60134,84934,1424313,50532.82507
7,DELHI,2020,8,52585,699911,25387.65586,105251,1213429,32261.4665,99662,1120962,36034.55912
8,RAJASTHAN,2020,8,63456,1382331,27047.40709,43733,1064905,26737.16299,82763,961522,29933.22024
9,UTTAR PRADESH,2020,8,97010,2691822,58163.32083,65002,1089743,50929.9533,151093,1732296,60896.58248
